ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_ID,origLat,origLong,comment,glottocode_comment,region
Eb1,Kazakh,48,70,kaza1248,Kazak (Eb1),xd609,Kazak,1910,Kazakh (RQ02),RQ02,48,70,Original,,Middle Asia
Ac35,Shila,-10,28,luba1250,Shila (Ac35),xd61,Awasira; Bashila; Wasira,1900,,,-10,28,Original,Note 8Feb2018: Changed based on note from HH: References indicate Bashila i.e. Luba-Katanga [lub] rather than Taabwa,West-Central Tropical Africa
Eb2,Tu,39,100,tuuu1240,Monguor (Eb2),xd610,Monguor,1920,Monguor (AE09),AE09,39,100,Original,,China
Eb3,Khalka,46,97,halh1238,Khalka (Eb3),xd611,Xanx; Khalka Mongols,1940,Mongolia (AH01),AH01,46,97,Original,,Mongolia
Eb4,Dagur,49,125,daur1238,Dagur (Eb4),xd612,Dagor,1940,,,49,125,Original,,China
Eb5,Turkmen,38,62,turk1304,Turkmen (Eb5),xd613,,1910,,,38,62,Original,,Middle Asia
Eb6,Buryat,52,107,russ1264,Buryat (Eb6),xd614,,1900,,,52,107,Original,,Siberia
Eb7,Chahar,41,115,peri1253,Chahar (Eb7),xd615,,1930,,,41,115,Original,,China
Eb8,Uzbek,43,60,nort2690,Uzbek (Eb8),xd616,,1800,,,43,60,Original,,Middle Asia
Ec1,Nivkh,53,142,gily1242,Gilyak (Ec1),xd617,Gilyak,1920,Nivkh (RX02),RX02,53,142,Original,,Russian Far East
Ec10,Ob Ostyak,62,74,khan1273,Ob Ostyak (Ec10),xd618,,1880,,,62,74,Original,,Siberia
Ec11,Selkup,59,90,selk1253,Selkup (Ec11),xd619,Ostyak Samoyed,1900,,,59,90,Original,,Siberia
Ac36,Tumbuka,-12,34,tumb1250,Tumbuka (Ac36),xd62,Atimbuka; Batumbaka; Watumbaka,1920,,,-12,34,Original,,South Tropical Africa
ec12,Nganasan,72,90,ngan1291,Nganasan (ec12),xd620,Tavgi Samoyed,1930,Samoyed_with_notes_on_Nganasan (RU04),RU04,72,90,Original,,Siberia
ec13,Itelmen,54.98,161.79,itel1242,Itelmen (ec13),xd621,Itelymem; Kamchadal,1710,,,55,168,Revised,,Russian Far East
ec14,Ungazikmit,64,-173,cent2128,Ungazikmit (ec14),xd622,Eskaleut; Asian Eskimo,1880,,,64,173,Revised,"9May2019 - longitude updated to place society in western rather than eastern hemisphere. 1Oct2018 - the update to Glottolog 3.3.2 forced re-mapping from dialect chap1266 (which no longer exists) to language (cent2128) (always the language-level match for this society). Note, this change may not be incorporated to Bouckaert/Atkinson global tree because of timing of correction.",Russian Far East
ec15,Mansi,63,62,mans1258,Mansi (ec15),xd623,Vogul; Gogulich; Mansiy; Voguly,1880,,,63,62,Original,,Siberia
ec16,Evenk,55,112,even1259,Evenk (ec16),xd624,Ewenki; Tungus; Chapogir; Avanki; Avankil; Solon; Khamnigan,1890,,,55,112,Original,,Siberia
ec17,Negidal,52,134,negi1245,Negidal (ec17),xd625,Negidaly; Neghidal,1890,,,52,134,Original,,Russian Far East
ec18,Ulch,50,136,ulch1241,Ulch (ec18),xd626,Ulchi; Ulcha; Ulych; Olch; Olcha; Olchis; Hoche; Hol-Chih.,1890,,,50,136,Original,,Russian Far East
ec19,Orok,54.01,142.71,orok1265,Orok (ec19),xd627,Uilta; Ul'ta; Nani; Oroki; Oroc; Ulta; Ujlta,1890,,,54,142,Revised,,Russian Far East
Ec2,Yakut,65,125,yaku1245,Yakut (Ec2),xd628,Sakha,1900,Yakut (RV02),RV02,65,125,Original,,Siberia
ec20,Oroch,51,138,oroc1248,Oroch (ec20),xd629,Orochi,1890,,,51,138,Original,,Russian Far East
Ac37,Kunda,-15,32,kund1255,Kunda (Ac37),xd63,Achikunda,1950,,,-15,32,Original,,South Tropical Africa
ec21,Udihe,47,136,udih1248,Udihe (ec21),xd630,Udeghes; Udyhe; Udekhe; Udegeis,1890,,,47,136,Original,,Russian Far East
Ec3,Chukchi,66,177,chuk1273,Chukchee (Ec3),xd631,lygoravetlyan; Ankalyn; Chavchu; Chukchee,1900,Chukchee (RY02),RY02,66,177,Original,,Russian Far East
Ec4,Yurak-Samoyeds,68,75,nene1249,Yurak (Ec4),xd632,Nenets; Yurak,1900,Samoyed and/or Nenets (RU04/RU41),RU04,68,75,Original,,Siberia
Ec5,Koryak,61.99,164.24,kory1246,Koryak (Ec5),xd633,,1900,Koryak (RY04),RY04,62,164,Revised,,Russian Far East
Ec6,Yukaghir,70,145,nort2745,Yukaghir (Ec6),xd634,,1850,,,70,145,Original,,Siberia
Ec7,Ainu,44,144,ainu1240,Ainu (Ec7),xd635,Ainu (Hokkaido); Hokkaido,1900,Ainu (AB06),AB06,44,144,Original,,Eastern Asia
Ec8,Ket,62,90,kett1243,Ket (Ec8),xd636,Yenisei Ostyak; Yeniseians,1900,,,62,90,Original,,Siberia
Ec9,Nanai,47,132,nana1257,Goldi (Ec9),xd637,Goldi; Gold,1920,,,47,132,Original,,China
Ed1,Koreans,38.134147,126.960754,kore1280,Koreans (Ed1),xd638,,1950,Korea (AA01),AA01,35,102,Original,,Eastern Asia
Ed10,Shantung,37,118,mand1415,Shantung (Ed10),xd639,,1930,,,37,118,Original,,China
Ac38,Nyanja,-16,36,nucl1395,Nyanja (Ac38),xd64,Nyanja; Anyanja; Wanyanja; Waanyanja,1910,,,-16,36,Original,,South Tropical Africa
Ed13,Ishigakians,24.46,124.14,yaey1239,Ishigakians (Ed13),xd640,,1940,,,24,124,Revised,,Eastern Asia
Ed14,Man,22,105,kimm1245,Man (Ed14),xd641,Yao,,,,22,105,Original,,Indo-China
Ed15a,Miyakans,24.79,125.32,miya1259,Miyakans (Ed15a),xd642,,1950,,,24,125,Revised,,Eastern Asia
Ed15b,Kiangsu,31,120,wuch1236,Chekiang (Ed15b),xd643,Chinese,1936,,,30.98,120.49,Original,,China
Ed16,Cantonese,23,113,yuec1235,Cantonese (Ed16),xd644,,1940,,,23,113,Original,,China
Ed2,Lolo,29,103,sich1238,Lolo (Ed2),xd645,Yi; Nosu,1940,Yi (AE04),AE04,29,103,Original,,China
Ed3,Manchu,45,126,manc1252,Manchu (Ed3),xd646,,1920,Manchu (AG01),AG01,45,126,Original,,China
Ed4,Miao,26,107,horn1235,Miao (Ed4),xd647,,1940,Miao (AE05),AE05,26,107,Original,"Changed from hea to hrm on 8 April 2017 based on comment by H. Hammarström: Based on where Ruey worked, language should be cqd or hrm (they are intelligible, which is why glottolog only has one entry for them).",China
Ed5,Japanese,35,136,nucl1643,Japanese (Ed5),xd648,,1950,Okayama (AB43),AB43,35,136,Original,,Eastern Asia
Ed6,Min Chinese,24,115,chao1239,Min Chinese (Ed6),xd649,,1920,,,24,115,Original,"7Nov2018-changed to Chaoshan dialect (from Min Nan Chinese language) based on consultation of primary source, and with the addition of dialects of Min Nan Chinese via new eHRAF societies",China
Ac39,Nyasa,-13,35,mwer1247,Nyasa (Ac39),xd65,Anyassa; Wanyassa,1920,,,-13,35,Original,"Note 8Feb2018: Glottocode changed to mwer1247 based on note from HH questioning the previous match (to Mande). mwer1247s is a sister to Chewa, which was the other possible match. KK logic: The EA tells us only that the alternate names for the group are Wanyassa and Anyassa. The Johnson reference describes the Nyasa of Lake Nyasa (Lake Malawi in Tanzania). Carol Ember's concordance tells us the group is in Tanzania [note that the Concordance also selects Mande/mand1423 as a match, but not for a clear reason]. The uzh.ch EA site quotes Tew (1950:31) [the other ethnographic reference for this case]: ""Nyasa, on the east littoral of Lake Nyasa, extending as far north as the Matengo mountains (and including a settlement of freed Nyasa slaves at Masasi in Tanganyika), and southwards until they mingle with Yao settlements on the upper Msinje and Luchulingo rivers."" From Wikipedia: ""The people who are called Nyanja [in Malawi] – when the term is used as an ethnic designation to identify those who speak Nyanja or related languages called Nyanja – are known as Nyasa or Wanyasa in neighbouring Tanzania. The Chewa are the largest ethnic group among the people who speak these related languages."" KK summary: Thus, Chewa looks to be a defensible match, but glottolog provides a sister language to Chewa for Tanzania: ""Mwera (Nyasa)"" [mwer1247], which was selected.",South Tropical Africa
Ed7,Okinawans,26.16,127.8,cent2126,Okinawans (Ed7),xd650,,1950,Okinawa (AC07),AC07,26,128,Revised,,Eastern Asia
Ed8,Minchia,26,100,cent2004,Minchia (Ed8),xd651,,1930,,,26,100,Original,,China
Ed9,Li,19,109,hlai1239,Li (Ed9),xd652,Sai; Hlai; Lai; Loi,1930,,,19,109,Original,,China
Ee1,Adi,28,95,bori1243,Abor (Ee1),xd653,Abor,1940,,,28,95,Original,,Indian Subcontinent
Ee2,Burusho,37,75,buru1296,Burusho (Ee2),xd654,,1930,Burusho (AV07),AV07,37,75,Original,,China
Ee3,Lepcha,28,89,lepc1244,Lepcha (Ee3),xd655,Rong,1930,Lepcha (AK05),AK05,28,89,Original,,China
Ee4,Central Tibetans,30,91,dbus1238,Tibetans (Ee4),xd656,,1920,Tibetans (AJ01),AJ01,30,91,Original,"12 Nov 2018 Assigned specific dialect to differentiate it from eHRAF society ""Western Tibetans"". From wikipedia: ""Central Tibetan, also known as Dbus, Ü or Ü-Tsang, is the most widely spoken Tibetic language and the basis of Standard Tibetan. There are many mutually intelligible Central Tibetan dialects besides that of Lhasa, with particular diversity along the border and in Nepal.""",China
Ee5,Shina,35,73,shin1264,Dard (Ee5),xd657,Dard,1870,,,35,73,Original,,Indian Subcontinent
Ee6,Sherpa,28,87,sher1255,Sherpa (Ee6),xd658,,1950,Sherpa (AK06),AK06,28,87,Original,,China
Ee7,Kachari,27,90,kach1279,Kachari (Ee7),xd659,Bodo,1840,,,27,90,Original,,Indian Subcontinent
Ac4,Kuba,-5,22,bush1247,Kuba (Ac4),xd66,Bakuba,1910,,,-5,22,Original,,West-Central Tropical Africa
Ee8,Magar,28,84,west2418,Magar (Ee8),xd660,,1950,,,28,84,Original,"Note 8Feb2018: Changed to [mrd] based on comment by HH: ""Banyan Hill is close to latitude 84 and so is clearly Western Magar [mrd] on Ethnologue's division.""",Indian Subcontinent
Ef1,Santal,24,87,sant1410,Santal (Ef1),xd661,Santhal; Saontal,1940,Santal (AW42),AW42,24,87,Original,,Indian Subcontinent
Ef10,Bihari,25,86,mait1250,Bihari (Ef10),xd662,Bihar; Behari,1880,Bihar (AW02),AW02,25,86,Original,,Indian Subcontinent
Ef11,Uttar Pradesh,26,83,bhoj1244,Uttar Pradesh (Ef11),xd663,,1945,Uttar (AW19),AW19,26,83,Original,,Indian Subcontinent
Ef2,Bengali,23,88,beng1280,Bengali (Ef2),xd664,,1940,Bengali (AW69),AW69,23,88,Original,,Indian Subcontinent
Ef3,Indo-Iranian,30,75,sans1269,Aryans (Ef3),xd665,Aryans; Indo-Aryans,-800,,,30,75,Original,,Indian Subcontinent
Ef4,Ho,22,85,hooo1248,Ho (Ef4),xd666,,1920,,,22,85,Original,,Indian Subcontinent
Ef5,Bhil,22,74,bhil1251,Bhil (Ef5),xd667,,1900,Bhil (AW25),AW25,22,74,Original,,Indian Subcontinent
Ef6,Kurukh,23,85,kuru1302,Oraon (Ef6),xd668,Oraon,1940,,,23,85,Original,,Indian Subcontinent
Ef7,Pahari,30,78,garh1243,Pahari (Ef7),xd669,,1950,,,30,78,Original,"Berremann (1963), which is the main source for this society, states explicitly that the people of Sirkanda (to whom this society was coded ‘with special reference’) speak Garhwali (garh1243).",Indian Subcontinent
Ac40,Sena,-18,35,nucl1396,Sena (Ac40),xd67,Asena; Wasena,1900,,,-18,35,Original,,South Tropical Africa
Ef8,Kashmiri,34,75,kash1277,Kashmir (Ef8),xd670,Kashmir; Kashmiri; Pandit; Sarasvati Brahmans,1950,Kashmiri (AV04),AV04,34,75,Original,,Indian Subcontinent
Ef9,Gujarati,20,77,guja1252,Gujarati (Ef9),xd671,,1136,Gujarati (AW07),AW07,20,77,Original,,Indian Subcontinent
Eg1,Chenchu,16,79,chen1255,Chenchu (Eg1),xd672,,1940,,,16,79,Original,,Indian Subcontinent
Eg10,Telugu,18,79,telu1262,Telugu (Eg10),xd673,,1950,Telugu (AW17),AW17,18,79,Original,,Indian Subcontinent
Eg11,Koya,19,78,koya1251,Koya (Eg11),xd674,Koitur,1960,,,19,78,Original,,Indian Subcontinent
Eg12,Khond,18,82,kuii1252,Khond (Eg12),xd675,,1940,,,18,82,Original,,Indian Subcontinent
Eg13,Muria Gond,20,81,west2408,Muria Gond (Eg13),xd676,,1941,Gond (AW32),AW32,20,81,Original,"Note 8Feb2018: Changed based on note by HH: ""Elwin's book concerns Muria of Kondagaon and Narayanpur Tahsil = Muria-Western [mut]"". Also, White SCCS pinpointing sheets for Hill Maria provide this detail on the location of the Muria Gond: ""the north-eastern plateau of Bastar, Kondagaon Tahsil.""",Indian Subcontinent
Eg14,Reddi,18,82,mukh1238,Reddi (Eg14),xd677,,1940,,,18,82,Original,,Indian Subcontinent
Eg2,Tamil,11,79,tami1289,Tamil (Eg2),xd678,,1880,Tamil (AW16),AW16,11,79,Original,,Indian Subcontinent
Eg3,Madia,19,81,mari1414,Maria Gond (Eg3),xd679,Maria Gond; Gond,1938,Gond (AW32),AW32,19,81,Original,"Note 8Feb2018: Changed based on note by HH: Unclear why this is attributed to Dandami Maria rather than Maria [mrr]. Focus according to White SCCS pinpointing sheets: ""Hill Maria Gond of Antagarh and northern Kutru Districts, Bastar State.""",Indian Subcontinent
Ac41,Makonde,-11,40,mako1251,Makonde (Ac41),xd68,Wamakonde,1900,,,-11,40,Original,,South Tropical Africa
Eg4,Toda,12,77,toda1252,Toda (Eg4),xd680,,1900,Toda (AW60),AW60,12,77,Original,,Indian Subcontinent
Eg5,Kodavas,12,76,koda1255,Coorg (Eg5),xd681,Coorg,1930,Kodava (AW05),AW05,12,76,Original,,Indian Subcontinent
Eg6,Kerala,11,76,mala1464,Kerala (Eg6),xd682,,1799,Kerala (AW11),AW11,11,76,Original,"reclassified another society from [mal] to [xuj] on 26 May 2016; as a result, matched this society to the glottolog language [mala1464] (which we are more certain of), replacing match to dialect [cent1998] (less certain)",Indian Subcontinent
Eg7,Hill Bhuiya,21,85,oriy1255,Hill Bhuiya (Eg7),xd683,Pauri,1930,,,21,85,Original,"Note, previously nucl1284 but changed by non-KK DPLACE editor in early 2016 (before 8April2016)",Indian Subcontinent
Eg8,Kol,22,85,mund1320,Kol (Eg8),xd684,,1940,Kol (AW37),AW37,22,85,Original,,Indian Subcontinent
Eg9,Baiga,22,81,chha1249,Baiga (Eg9),xd685,,1930,,,22,81,Original,,Indian Subcontinent
Eh1,Andamanese,12,93,akab1249,Andamese (Eh1),xd686,Big Andaman Island; Andamese,1870,Andamans (AZ02),AZ02,12,93,Original,Changed to abj from apq on 8 April 2017 based on comments from H. Hammarström: Man (1885) worked most with (and whose variety he spoke best) Bojingya or Aka-Bea [abj],Indo-China
Eh10,Betsileo,-22,47,bets1235,Betsileo (Eh10),xd687,,,,,-22,47,Original,,Western Indian Ocean
Eh2,Merina,-19,46,meri1243,Merina (Eh2),xd688,Antimerina; Hova; Imerina,1900,,,-19,46,Original,,Western Indian Ocean
Eh3,Tanala,-22,47,tana1285,Tanala (Eh3),xd689,,1930,Tanala (FY08),FY08,-22,47,Original,,Western Indian Ocean
Ac42,Makua,-15,39,makh1264,Makua (Ac42),xd69,Wamakua,1900,,,-15,39,Original,,South Tropical Africa
Eh4,Vedda,8,81,vedd1240,Vedda (Eh4),xd690,Wanniyalaeto; Veddah,1900,Vedda (AX05),AX05,8,81,Original,,Indian Subcontinent
Eh5,Nicobarese,9.17,92.77,carn1240,Nicobarese (Eh5),xd691,Holchu,1890,Nicobarese (AZ07),AZ07,9,92,Revised,,Indo-China
Eh6,Sinhalese,7,80,sinh1246,Sinhalese (Eh6),xd692,,1950,Sinhalese (AX04),AX04,7,80,Original,,Indian Subcontinent
Eh7,Antandroy,-25,46,tand1256,Antandroy (Eh7),xd693,Tandroy,1900,,,-25,46,Original,,Western Indian Ocean
Eh8,Sakalava,-21,43.93,saka1291,Sakalava (Eh8),xd694,,1900,,,-21,41,Revised,,Western Indian Ocean
Eh9,Antaisaka,-22.9,47.75,tesa1236,Antaisaka (Eh9),xd695,,1930,,,-23,48,Revised,,Western Indian Ocean
Ei1,Garo,26,91,garo1247,Garo (Ei1),xd696,A.Chik,1900,Garo (AR05),AR05,26,91,Original,,Indian Subcontinent
Ei10,Chakma,23,92,chak1266,Chakma (Ei10),xd697,Chuckmah,1870,,,23,92,Original,,Indian Subcontinent
Ei11,Aimol,25,94,aimo1244,Aimol (Ei11),xd698,,1910,,,25,94,Original,,Indian Subcontinent
Ei12,Thado,25,94,thad1238,Thado (Ei12),xd699,,1910,,,25,94,Original,,Indian Subcontinent
Aa7,Naron,-20,24,naro1249,Naron (Aa7),xd7,Aikwe,1910,,,-20,24,Original,,Southern Africa
Ac43,Mambwe,9,32,mamb1296,Mambwe (Ac43),xd70,Amambwe,1910,,,9,32,Original,,Northeast Tropical Africa
Ei13,Angami,26,94,anga1288,Angami (Ei13),xd700,,1910,,,26,94,Original,,Indian Subcontinent
Ei14,Ao,27,94,aona1235,Ao (Ei14),xd701,,1920,,,27,94,Original,,Indian Subcontinent
Ei15,Rengma,26,94,sout2732,Rengama (Ei15),xd702,Rengama; Rengma Naga,1930,,,26,94,Original,,Indian Subcontinent
Ei16,Sema,26,95,sumi1235,Sema (Ei16),xd703,,1910,,,26,95,Original,,Indian Subcontinent
Ei17,Karbi,26,94,karb1241,Mikir (Ei17),xd704,Arleng; Mikir,1900,,,26,94,Original,,Indian Subcontinent
